log_id,equipment_id,equipment_tag,date,alarm_code,severity,technician_notes,action_taken,downtime_hours,resolved
LOG-0001,Pump-1,P-101,2026-01-10,LUBE_LOW_10,Warning,"Grease level low at DE bearing, no visible leak at the fitting. Ops was notified.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0002,Compressor-2,C-302,2026-01-10,OIL_TEMP_02,Warning,"Per procedure, confirmed oil temp elevated, cooling air intake found partly blocked before taking action.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0003,Compressor-1,C-301,2026-01-12,SEP_DP_HIGH_08,Warning,"Separator element DP climbing toward end-of-life relative to the clean baseline. Checked it out, seems consistent with what we've seen before.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0004,Pump-3,P-103,2026-01-13,SPEED_DEV_18,Warning,Commanded vs actual speed deviation flagged briefly during a ramp. Nothing else abnormal noted during walkdown.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0005,Motor-2,M-202,2026-01-15,VIB_HIGH_05,Warning,Responded to alarm on Motor-2 (M-202). Vibration on DE housing climbed above baseline.,Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0006,Compressor-2,C-302,2026-01-17,HIGH_HIGH_PRESS_06,Critical,"Alarm came in, went and looked. High-high pressure trip, electronic protection engaged ahead of the relief valve.","Unit remained tripped pending parts, isolated and tagged out.",3.7,yes
LOG-0007,Motor-1,M-201,2026-01-23,WIND_TEMP_01,Critical,Winding RTD on one phase reading high relative to the other two. Nothing else abnormal noted during walkdown.,"Unit remained tripped pending parts, isolated and tagged out.",8.9,yes
LOG-0008,Compressor-2,C-302,2026-01-23,VFD_FAULT_14,Critical,"VFD comms fault, network congestion suspected given timing. Checked it out, seems consistent with what we've seen before.","Unit remained tripped pending parts, isolated and tagged out.",8.7,yes
LOG-0009,Pump-3,P-103,2026-01-24,PRESS_LOW_06,Warning,"Alarm came in, went and looked. Discharge pressure trending below curve for the commanded speed.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0010,Motor-1,M-201,2026-01-25,BRG_TEMP_02,Warning,"Responded to alarm on Motor-1 (M-201). DE bearing temp elevated, grease looked overdue per the log.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0011,Pump-2,P-102,2026-01-28,SUCT_STRAIN_15,Warning,"Responded to alarm on Pump-2 (P-102). Suction strainer DP climbing, due for a clean per the schedule.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,no
LOG-0012,Pump-3,P-103,2026-01-28,CAV_DET_08,Critical,"Acoustic cavitation signature picked up, unit was running past BEP. Ops was notified.","Unit remained tripped pending parts, isolated and tagged out.",4.5,no
LOG-0013,Motor-1,M-201,2026-01-29,LOCKED_ROTOR_11,Critical,"Failed to start, rotor would not turn by hand after isolation. Nothing else abnormal noted during walkdown.","Unit stopped manually per procedure, corrective work performed, returned to service.",6.5,yes
LOG-0014,Compressor-2,C-302,2026-01-29,OIL_PRESS_03,Critical,"Alarm came in, went and looked. Oil injection differential low, unit was near minimum turndown at the time.","Unit stopped manually per procedure, corrective work performed, returned to service.",7.2,yes
LOG-0015,Compressor-2,C-302,2026-01-30,SEP_DP_HIGH_08,Warning,"Alarm came in, went and looked. Separator element DP climbing toward end-of-life relative to the clean baseline.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0016,Pump-3,P-103,2026-01-31,LEAK_DET_17,Critical,"Alarm came in, went and looked. Baseplate drip tray leak sensor tripped, fluid found pooling under the casing.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",7.5,yes
LOG-0017,Compressor-1,C-301,2026-02-03,MIN_PRESS_VALVE_18,Warning,Minimum pressure valve cracking pressure suspect at low turndown -- will keep an eye on it next shift.,Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0018,Pump-1,P-101,2026-02-04,MOTOR_OVLD_09,Critical,"Overcurrent trip, shaft rotated freely by hand after isolation. Nothing else abnormal noted during walkdown.","Unit tripped, replaced faulty component, restarted and verified normal readings.",1.6,yes
LOG-0019,Motor-2,M-202,2026-02-05,VFD_FAULT_09,Critical,"Per procedure, confirmed VFD comms dropped, cable connector at the drive end looked marginal before taking action.","Unit stopped manually per procedure, corrective work performed, returned to service.",4.8,yes
LOG-0020,Pump-1,P-101,2026-02-05,COOLANT_LOW_20,Warning,Responded to alarm on Pump-1 (P-101). Seal flush cooling water flow dropped below setpoint.,Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,no
LOG-0021,Pump-3,P-103,2026-02-05,COUPL_MISALIGN_11,Warning,"Per procedure, confirmed 1x running speed signature correlated DE/NDE, consistent with alignment drift before taking action.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0022,Motor-2,M-202,2026-02-06,MOISTURE_ING_17,Warning,"Condensation detected in the junction box, desiccant pack was saturated. Nothing else abnormal noted during walkdown.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0023,Motor-1,M-201,2026-02-06,ENCODER_FAULT_19,Warning,"Speed feedback signal dropped out briefly. Checked it out, seems consistent with what we've seen before.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0024,Motor-1,M-201,2026-02-07,BRG_TEMP_02,Warning,"DE bearing temp elevated, grease looked overdue per the log. Checked it out, seems consistent with what we've seen before.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0025,Pump-3,P-103,2026-02-07,TEMP_HIGH_02,Critical,Winding thermistor tripped on phase B. Ops was notified.,"Unit stopped manually per procedure, corrective work performed, returned to service.",2.0,yes
LOG-0026,Pump-1,P-101,2026-02-07,LEAK_DET_17,Critical,"Baseplate drip tray leak sensor tripped, fluid found pooling under the casing. Ops was notified.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",4.0,yes
LOG-0027,Pump-3,P-103,2026-02-08,POWER_PHASE_14,Critical,"Responded to alarm on Pump-3 (P-103). Phase imbalance tripped the unit, upstream breaker found loose.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",3.3,yes
LOG-0028,Compressor-1,C-301,2026-02-14,VIB_HIGH_11,Warning,Vibration on the airend DE housing above baseline. Nothing else abnormal noted during walkdown.,"Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0029,Compressor-1,C-301,2026-02-15,AFTERCOOLER_FOUL_10,Warning,"Approach temp rising, fins found fouled with dust. Checked it out, seems consistent with what we've seen before.","Flagged for next planned outage, unit left in service.",0.0,yes
